0 0.551562 0.632407 0.0354167 0.244444 0.655526
2 0.697917 0.640741 0.107292 0.0944444 0.675154
2 0.948177 0.593518 0.0598958 0.087037 0.72448
2 0.599479 0.649074 0.130208 0.153704 0.783841
2 0.432031 0.661574 0.147396 0.225 0.870086
2 0.229687 0.721296 0.213542 0.285185 0.931272



[2.36000e+02, 6.25000e+02, 6.46000e+02, 9.33000e+02, 9.31272e-01, 2.00000e+00],ave9.17127
[6.88000e+02, 5.93000e+02, 9.71000e+02, 8.36000e+02, 8.70086e-01, 2.00000e+00],ave12.6983
[1.02600e+03, 6.18000e+02, 1.27600e+03, 7.84000e+02, 7.83841e-01, 2.00000e+00],ave38.5099
[1.76300e+03, 5.94000e+02, 1.87800e+03, 6.88000e+02, 7.24480e-01, 2.00000e+00],ave15.0561
[1.23700e+03, 6.41000e+02, 1.44300e+03, 7.43000e+02, 6.75154e-01, 2.00000e+00],
[1.02500e+03, 5.51000e+02, 1.09300e+03, 8.15000e+02, 6.55526e-01, 0.00000e+00]






